LTR,CANVAS ID,DEPT,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
HT,101311,CHEM,CHEM 121 110 2022W1,CHEM 121 110 2022W1 Structure and Bonding in Chemistry,TBA,229,In-Person,Active,NO MT,,,,,12/11/2022,12:00,In-Person,In-Person,
HT,114584,CHEM,CHEM 121 ALL LECTURES 2022W1,CHEM 121 ALL LECTURES 2022W1 Structure and Bonding in Chemistry,TBA,180,In-Person,Active,10/12/2022,6:00 PM,NONE,In-Person,,12/11/2022,12:00,In-Person,In-Person,
,,,,,,,,,11/16/2022,,,,,,,,,
HT,101317,CHEM,CHEM 121 V01/V02 2022W1,CHEM 121 V01/V02 2022W1 Structure and Bonding in Chemistry,TBA,180,In-Person,Active,TBA,,,,,12/11/2022,12:00,In-Person,In-Person,
HT,101320,CHEM,CHEM 154 133 2022W1,CHEM 154 133 2022W1 Chemistry for Engineering,TBA,N/A,In-Person,Active,NO MT,,,,,12/21/2022,08:30,In-Person,In-Person,
HT,113938,CHEM,CHEM 154 All Lectures 2022W1,CHEM 154 All Lectures 2022W1 Chemistry for Engineering,TBA,N/A,In-Person,Active,11/16/2022,7:00 PM,NONE,In-Person,,12/21/2022,08:30,In-Person,In-Person,
HT,101322,CHEM,CHEM 203 101 2022W1,CHEM 203 101 2022W1 Introduction to Organic Chemistry,"TANNER, MARTIN",265,In-Person,Active,TBA,,,,,12/14/2022,19:00,In-Person,In-Person,
HT,114684,CHEM,CHEM 203 ALL LABS 2022W1,CHEM 203 ALL LABS 2022W1 Introduction to Organic Chemistry,TBA,265,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101338,CHEM,CHEM 235 XMT 2022W1,CHEM 235 XMT 2022W1 Organic Chemistry Laboratory,TBA,100,In-Person,Active,NO MT,,,,,12/17/2022,12:00,In-Person,In-Person,
HT,101357,CHEM,CHEM 399 610 2022W1,CHEM 399 610 2022W1 Co-operative Work Placement II,TBA,97,In-Person,Active,N/A,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
