LTR,CANVAS ID,,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
KL,107026,EOSC,EOSC 111 L2A 2022W2 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",29,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107027,EOSC,EOSC 111 L2B 2022W2 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",28,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107028,EOSC,EOSC 111 L2C 2022W2 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",29,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107029,EOSC,EOSC 111 L2D 2022W2 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",29,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107030,EOSC,EOSC 111 L2E 2022W2 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",29,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
KL,107031,EOSC,EOSC 112 201 2022W2 The Fluid Earth: Atmosphere and Ocean,"FRANCOIS, ROGER",113,In-Person,Active,2/1/2023,11:00 - 12:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/1/2023,11:00 - 12:00,,,,,,,,
,,,,,,,,3/22/2023,11:00 - 12:00,,,,,,,,
KL,107032,EOSC,EOSC 114 201/202 2022W2 The Catastrophic Earth: Natural Disasters,"GILLEY, BRETT",417,In-Person,Active,1/25/2023,"10:00 - 11:00,",In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"MALDONADO-PAREJA, MARIA",,,,3/1/2023,13:00 - 14:00,,,,,,,,
,,,,"MCCOLLOR, DOUGLAS",,,,3/22/2023,,,,,,,,,
,,,,"PORRITT, LUCY",,,,,"10:00 - 11:00,",,,,,,,,
,,,,"RUSSELL, JAMES KELLY",,,,,13:00 - 14:00,,,,,,,,
,,,,"VER, LEAH MAY",,,,,,,,,,,,,
,,,,,,,,,"10:00 - 11:00,",,,,,,,,
,,,,,,,,,13:00 - 14:00,,,,,,,,
KL,111778,EOSC,EOSC 114 99C 2022WC The Catastrophic Earth: Natural Disasters,"VER, LEAH MAY",245,Hybrid,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,107034,EOSC,EOSC 116 201 2022W2 Mesozoic Earth: Time of the Dinosaurs.,"SUTHERLAND, STUART",161,In-Person,Active,2/10/2023,9:00 - 10:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/15/2023,9:00 - 10:00,,,,,,,,
KL,111779,EOSC,EOSC 116 99C 2022WC Mesozoic Earth: Time of the Dinosaurs.,"LONGRIDGE, LOUISE",335,Hybrid,Active,2/2/2023 - 2/5/2023,12:00 - 23:00,Canvas Classic Quiz,NA,Students can take MT anytime between the start and,TBA,TBA,In-Person,In-Person,
,,,,,,,,2/16/2023 - 2/19/2023,12:00 - 23:00,,,"end date time, MT is 50 limit long once started. ",,,,,
,,,,,,,,3/9/2023 - 3/12/2023,12:00 - 23:00,,,,,,,,
KL,111780,EOSC,EOSC 118 99C 2022W2 Earth's Treasures: Gold and Gems,"EVANS, JIM",314,Hybrid,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,In-Person,In-Person,
KL,116304,EOSC,EOSC 221 201 2022W2 Introductory Petrology,"KOPYLOVA, MAYA",54,In-Person,Active,2/7/2023,9:30 - 10:30,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"SUTHERLAND, STUART",,,,3/16/2023,9:30 - 10:30,,,,,,,,
KL,116078,EOSC,EOSC 222 201 2022W2 Geological Time and Stratigraphy,"SUTHERLAND, STUART",50,In-Person,Active,3/2/2023,11:00 - 12:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,107038,EOSC,EOSC 223 201 2022W2 Field Techniques,"DARCY, MITCHALL",43,In-Person,Active,2/15/2023,12:00 - 12:50,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"PEACOCK, SIMON",,,,,,,,,,,,,
,,,,"PORRITT, LUCY",,,,,,,,,,,,,
,,,,"SAYLOR, JOEL EDWAR",,,,,,,,,,,,,
KL,107039,EOSC,EOSC 240 201 2022W2 Site Investigation,"HOLLINGSHEAD, SUSAN",24,In-Person,Active,3/1/2023,13:00 - 15:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,"YEUNG, JASON",,,,,,,,,,,,,
KL,107041,EOSC,EOSC 270 201 2022W2 Marine Ecosystems,"HUNT, BRIAN",62,In-Person,Active,2/16/2023,15:00 - 17:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
KL,111781,EOSC,EOSC 310 99C 2022W2 The Earth and the Solar System,"QADRI, S.M. TALHA",131,Hybrid,Active,2/13/2023 - 2/16/2023,00:00 - 11:59,Canvas Classic Quiz,Respondus Lockdown Browswer,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/20/2023 - 3/23/2023,00:00 - 11:59,,,,,,,,
KL,107042,EOSC,EOSC 314 201 2022W2 The Ocean Environment,"VER, LEAH MAY",12,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,Canvas Classic Quiz,In-Person,
